#,Program:featureCounts
Geneid,SRR17446276.bam
AT1G67330,0
AT1G23300,0
AT1G64230,7453
AT1G57690,0
AT1G55152,0
AT1G48030,4919
AT1G50890,287
AT1G15590,0
AT1G15180,1477
AT1G79460,496
AT1G20823,194
AT1G27330,692
AT1G78830,3084
AT1G60050,3
AT1G72545,0
AT1G64584,0
AT1G69523,210
AT1G20720,87
AT1G55610,150
AT1G07400,46
AT1G34575,0
AT1G44170,826
AT1G27600,1062
AT1G02710,0
AT1G15040,87
AT1G05200,587
AT1G05575,47
AT1G75220,1515
AT1G13860,448
AT1G05720,332
AT1G53300,1439
AT1G54180,151
AT1G61810,144
AT1G62640,913
AT1G24430,111
AT1G80590,0
AT1G35820,0
AT1G63250,87
AT1G23890,205
AT1G20480,56
AT1G61790,2549
AT1G68300,507
AT1G69790,27
AT1G10560,423
AT1G68780,371
AT1G07640,872
AT1G32710,2
AT1G34070,0
AT1G52155,143
AT1G47500,385
AT1G77765,136
AT1G62190,0
AT1G26130,423
AT1G59500,0
AT1G77010,9
AT1G74130,0
AT1G15360,0
AT1G07170,344
AT1G10360,2135
AT1G22780,2369
AT1G64610,189
AT1G02305,1628
AT1G21860,5
AT1G70990,55
AT1G16030,205
AT1G34270,430
AT1G69570,10
AT1G03240,1
AT1G05820,67
AT1G60690,285
AT1G58210,192
AT1G58007,13
AT1G29900,1971
AT1G33320,10
AT1G72630,424
AT1G09780,3262
AT1G29435,0
AT1G15350,1057
AT1G06515,350
AT1G50030,1854
AT1G32520,202
AT1G51210,0
AT1G66930,38
AT1G03540,58
AT1G76310,229
AT1G64385,546
AT1G43850,705
AT1G76965,0
AT1G51570,3100
AT1G76130,226
AT1G11050,0
AT1G72080,0
AT1G04680,1624
AT1G32780,85
AT1G18370,417
AT1G24040,462
AT1G61120,12
AT1G69160,785
AT1G22230,183
AT1G75240,971
AT1G53700,64
AT1G80460,2544
AT1G59640,295
AT1G19850,369
AT1G21925,0
AT1G48600,5708
AT1G28390,199
AT1G67030,263
AT1G64340,0
AT1G31550,127
AT1G52360,2621
AT1G77270,146
AT1G64320,20
AT1G03165,4
AT1G64590,87
AT1G79400,0
AT1G02880,487
AT1G38790,0
AT1G63190,0
AT1G78850,8120
AT1G70895,82
AT1G12230,2641
AT1G35830,80
AT1G75430,5
AT1G53450,574
AT1G25330,0
AT1G21950,0
AT1G23650,0
AT1G72270,1
AT1G30170,1
AT1G15757,0
AT1G28150,791
AT1G69500,1
AT1G23580,0
AT1G03440,226
AT1G76270,327
AT1G65560,134
AT1G13730,544
AT1G18060,2095
AT1G21640,1524
AT1G08960,347
AT1G79860,22
AT1G68360,29
AT1G10550,270
AT1G34570,201
AT1G65710,55
AT1G56530,0
AT1G53320,2153
AT1G17220,7347
AT1G77525,1
AT1G19960,78
AT1G52880,262
AT1G05420,23
AT1G76040,920
AT1G79840,179
AT1G47830,484
AT1G03010,43
AT1G78100,567
AT1G01695,3
AT1G15380,838
AT1G72320,591
AT1G61690,1226
AT1G01610,1203
AT1G74030,952
AT1G66950,38
AT1G18770,0
AT1G74220,0
AT1G56630,17
AT1G02520,111
AT1G50620,406
AT1G08130,602
AT1G33790,161
AT1G62380,7479
AT1G73165,7
AT1G66000,0
AT1G77932,0
AT1G15480,224
AT1G77960,935
AT1G02590,0
AT1G66640,0
AT1G23880,98
AT1G34460,86
AT1G12780,2758
AT1G30300,278
AT1G54060,767
AT1G33020,0
AT1G71130,409
AT1G75170,178
AT1G79920,2031
AT1G03190,256
AT1G16025,0
AT1G22620,981
AT1G51260,7
AT1G65640,0
AT1G26410,14
AT1G74820,0
AT1G34650,1
AT1G23190,2901
AT1G55250,665
AT1G74210,399
AT1G76940,332
AT1G80890,28
AT1G74730,1746
AT1G76090,1263
AT1G63990,11
AT1G61360,461
AT1G75140,618
AT1G21270,539
AT1G49300,1652
AT1G80610,348
AT1G05570,1281
AT1G27540,295
AT1G53945,2
AT1G61565,0
AT1G30780,0
AT1G73350,403
AT1G52440,0
